Pokemon_1,Type_1,Type_number_1,Hp_1,Attack_1,Defense_1,Speed_1,Total_Points_1,Pokemon_2,Type_2,Type_number_2,Hp_2,Attack_2,Defense_2,Speed_2,Total_Points_2,Winner,Index,N_Pokemon_1,N_Pokemon_2
Arbok,Poison,7,60,95,69,80,261.5,Larvesta,Bug,4,55,85,55,60,160,1,32,24,636
Pikachu,Electric,8,35,55,40,90,117,Leavanny,Bug,4,75,103,80,92,322.5,0,33,25,542
Partner Pikachu,Electric,8,45,80,50,120,260,Ledian,Bug,4,55,35,50,85,65,1,34,25,166
Raichu,Electric,8,60,90,55,110,295,Ledyba,Bug,4,40,20,30,55,-35,1,35,26,165
Alolan Raichu,Electric,8,60,85,50,110,245,Masquerain,Bug,4,70,60,62,80,102,1,36,26,284
Sandshrew,Ground,9,50,75,85,40,100,Mega Beedrill,Bug,4,65,150,40,145,325,0,37,27,15
Alolan Sandshrew,Ice,10,50,75,90,40,162.5,Mega Heracross,Bug,4,80,185,115,75,380,0,38,27,214
Sandslash,Ground,9,75,100,110,65,195,Mega Pinsir,Bug,4,65,155,120,105,445,0,39,28,127
Alolan Sandslash,Ice,10,75,100,120,65,285,Mega Scizor,Bug,4,70,150,140,75,385,0,40,28,212
Nidoranâ™€,Poison,7,55,47,52,41,185,Metapod,Bug,4,50,20,55,30,108,1,41,29,11
Nidorina,Poison,7,70,62,67,56,208,Mothim,Bug,4,70,94,50,66,218,0,42,30,414
Nidoqueen,Poison,7,90,92,87,76,322.5,Nincada,Bug,4,31,45,90,40,160,1,43,31,290
Nidoranâ™‚,Poison,7,46,57,40,50,148,Ninjask,Bug,4,61,90,45,160,299,0,44,32,291
Nidorino,Poison,7,61,72,57,65,232.5,Orbeetle,Bug,4,60,45,110,90,233,0,45,33,826
Nidoking,Poison,7,81,102,77,85,310,Paras,Bug,4,35,70,55,25,-19,1,46,34,46
Clefairy,Fairy,11,70,45,48,35,150.5,Parasect,Bug,4,60,95,80,30,220,0,47,35,47
Clefable,Fairy,11,95,70,73,60,229.5,Pheromosa,Bug,4,71,137,37,151,256,0,48,36,795
Vulpix,Fire,2,38,41,40,65,151.5,Pineco,Bug,4,50,65,90,15,138,1,49,37,204
Alolan Vulpix,Ice,10,38,41,40,65,121.5,Pinsir,Bug,4,65,125,100,85,334,0,50,37,127
Ninetales,Fire,2,73,76,75,100,296.5,Ribombee,Bug,4,60,55,60,124,147,1,51,38,743
Alolan Ninetales,Ice,10,73,67,75,109,306.5,Scatterbug,Bug,4,38,35,40,35,81,1,52,38,664
Jigglypuff,Normal,5,115,45,20,20,135,Scizor,Bug,4,70,130,100,65,342.5,0,53,39,212
Wigglytuff,Normal,5,140,70,45,45,250,Scolipede,Bug,4,60,100,89,112,291,0,54,40,545
Zubat,Poison,7,40,45,35,55,147.5,Scyther,Bug,4,70,110,80,105,320,0,55,41,123
Golbat,Poison,7,75,80,70,90,301.75,Sewaddle,Bug,4,45,53,70,42,50,1,56,42,540
Oddish,Grass,1,45,50,55,30,90,Shedinja,Bug,4,1,90,45,40,176,0,57,43,292
Gloom,Grass,1,60,65,70,40,195,Shelmet,Bug,4,50,40,85,25,167.5,1,58,44,616
Vileplume,Grass,1,75,80,85,50,280,Shuckle,Bug,4,20,10,230,5,185,1,59,45,213
Paras,Bug,4,35,70,55,25,115,Silcoon,Bug,4,50,35,55,15,85,1,60,46,266
Parasect,Bug,4,60,95,80,30,221,Spewpa,Bug,4,45,22,60,29,61,1,61,47,665
Venonat,Bug,4,60,55,50,45,180,Spinarak,Bug,4,40,60,40,30,142.5,1,62,48,167
Venomoth,Bug,4,70,65,60,90,270,Surskit,Bug,4,40,30,32,65,102,1,63,49,283
Diglett,Ground,9,10,55,25,95,122,Swadloon,Bug,4,55,63,90,42,236.25,0,64,50,541
Alolan Diglett,Ground,9,10,55,30,90,162.5,Venipede,Bug,4,30,45,59,57,136,1,65,50,543
Dugtrio,Ground,9,35,100,50,120,240,Venomoth,Bug,4,70,65,60,90,185,1,66,51,49
Alolan Dugtrio,Ground,9,35,100,60,110,277.5,Venonat,Bug,4,60,55,50,45,110,1,67,51,48
Meowth,Normal,5,40,45,35,90,130,Vespiquen,Bug,4,70,80,102,40,247,0,68,52,416
Alolan Meowth,Dark,6,40,35,35,90,60,Vikavolt,Bug,4,77,70,90,43,245,0,69,52,738
Galarian Meowth,Steel,12,50,65,55,40,184,Vivillon,Bug,4,80,52,50,89,206,0,70,52,666
Persian,Normal,5,65,70,60,115,237,Volbeat,Bug,4,65,73,75,85,228,1,71,53,313
Alolan Persian,Dark,6,65,60,60,115,180,Volcarona,Bug,4,85,60,65,100,250,0,72,53,637
Psyduck,Water,3,50,52,48,55,170,Weedle,Bug,4,40,35,30,50,103,1,73,54,13
Golduck,Water,3,80,82,78,85,270,Whirlipede,Bug,4,40,55,99,47,159,1,74,55,544
Mankey,Fighting,13,40,80,35,70,207.5,Wimpod,Bug,4,25,35,40,80,100,1,75,56,767
Primeape,Fighting,13,65,105,60,95,295.5,Wormadam Plant Cloak,Bug,4,60,59,85,36,135,1,76,57,413
Growlithe,Fire,2,55,70,45,60,190.5,Wormadam Sandy Cloak,Bug,4,60,79,105,36,140,1,77,58,413
Arcanine,Fire,2,90,110,80,95,340.5,Wormadam Trash Cloak,Bug,4,60,69,95,36,-180,1,78,59,413
Poliwag,Water,3,40,50,40,90,175,Wurmple,Bug,4,45,45,35,20,95,1,79,60,265
Poliwhirl,Water,3,65,65,65,90,220,Yanma,Bug,4,65,65,45,95,205,1,80,61,193
Poliwrath,Water,3,90,95,95,70,312,Yanmega,Bug,4,86,76,86,95,248,1,81,62,469
Abra,Psychic,14,25,20,15,90,10,Accelgor,Bug,4,80,70,40,145,315,0,82,63,617
Kadabra,Psychic,14,40,35,30,105,30,Ariados,Bug,4,70,90,70,40,200,0,83,64,168
Alakazam,Psychic,14,55,50,45,120,130,Beautifly,Bug,4,60,70,50,65,195,0,84,65,267
Mega Alakazam,Psychic,14,55,50,65,150,140,Beedrill,Bug,4,65,90,40,75,170,0,85,65,15
Machop,Fighting,13,70,80,50,35,225,Blipbug,Bug,4,25,20,20,45,30,1,86,66,824
Machoke,Fighting,13,80,100,70,45,280.5,Burmy,Bug,4,40,29,45,36,50,1,87,67,412
Machamp,Fighting,13,90,130,80,55,332.5,Butterfree,Bug,4,60,45,50,70,95,1,88,68,12
Bellsprout,Grass,1,50,75,35,40,61,Buzzwole,Bug,4,107,139,139,79,426.5,0,89,69,794
Weepinbell,Grass,1,65,90,50,55,225,Cascoon,Bug,4,50,35,55,15,110,1,90,70,268
Victreebel,Grass,1,80,105,65,70,290,Caterpie,Bug,4,45,30,35,45,102.5,1,91,71,10
Tentacool,Water,3,40,40,35,70,144,Charjabug,Bug,4,57,82,95,36,230,0,92,72,737
Tentacruel,Water,3,80,70,65,100,300,Combee,Bug,4,30,30,42,70,102,1,93,73,415
Geodude,Rock,15,40,80,100,20,135,Crustle,Bug,4,70,105,125,45,185,0,94,74,558
Alolan Geodude,Rock,15,40,80,100,20,195,Cutiefly,Bug,4,40,45,40,84,49,1,95,74,742
Graveler,Rock,15,55,95,115,35,265,Dottler,Bug,4,50,35,80,30,5,1,96,75,825
Alolan Graveler,Rock,15,55,95,115,35,191,Durant,Bug,4,58,109,112,109,293,0,97,75,632
Golem,Rock,15,80,120,130,45,325,Dustox,Bug,4,60,50,70,65,5,1,98,76,269
Alolan Golem,Rock,15,80,120,130,45,310,Dwebble,Bug,4,50,65,85,55,15,1,99,76,557
Ponyta,Fire,2,50,85,55,90,212.5,Escavalier,Bug,4,70,135,105,20,-10,1,100,77,589
Galarian Ponyta,Psychic,14,50,85,55,90,235,Forretress,Bug,4,75,90,140,40,302.5,0,101,77,205
Rapidash,Fire,2,65,100,70,105,301.5,Galvantula,Bug,4,70,77,60,108,115,1,102,78,596
Galarian Rapidash,Psychic,14,65,100,70,105,280,Genesect,Bug,4,71,120,95,99,335,0,103,78,649
Slowpoke,Water,3,90,65,65,15,-15,Golisopod,Bug,4,75,125,140,40,347.5,0,104,79,768
Slowbro,Water,3,95,75,110,30,186,Grubbin,Bug,4,47,62,45,46,125,1,105,80,736
Mega Slowbro,Water,3,95,75,180,30,130,Heracross,Bug,4,80,125,75,85,290,0,106,80,214
Magnemite,Electric,8,25,35,70,45,151.5,Illumise,Bug,4,65,47,75,85,237,0,107,81,314
Magneton,Electric,8,50,60,95,70,251.5,Joltik,Bug,4,50,47,50,65,182,1,108,82,595
Farfetch'd,Normal,5,52,90,55,60,244.5,Kakuna,Bug,4,45,25,50,35,65,1,109,83,14
Galarian Farfetch'd,Fighting,13,52,95,55,55,219.5,Karrablast,Bug,4,50,75,45,60,135,1,110,83,588
Doduo,Normal,5,35,85,45,75,227.5,Kricketot,Bug,4,37,25,41,25,43,1,111,84,401
Dodrio,Normal,5,60,110,70,110,307.5,Kricketune,Bug,4,77,85,51,65,168,1,112,85,402
Seel,Water,3,65,45,55,45,125,Larvesta,Bug,4,55,85,55,60,165,0,113,86,636
Dewgong,Water,3,90,70,80,70,207,Leavanny,Bug,4,75,103,80,92,315,0,114,87,542
Grimer,Poison,7,80,80,50,25,217.5,Ledian,Bug,4,55,35,50,85,145,1,115,88,166
Alolan Grimer,Poison,7,80,80,50,25,215,Ledyba,Bug,4,40,20,30,55,65,1,116,88,165
Muk,Poison,7,105,105,75,50,305,Masquerain,Bug,4,70,60,62,80,167,1,117,89,284
Alolan Muk,Poison,7,105,105,75,50,185,Mega Beedrill,Bug,4,65,150,40,145,347.5,0,118,89,15
Shellder,Water,3,30,65,100,40,50,Mega Heracross,Bug,4,80,185,115,75,390,0,119,90,214
Cloyster,Water,3,50,95,180,70,240,Mega Pinsir,Bug,4,65,155,120,105,350,0,120,91,127
Gastly,Ghost,16,30,35,30,80,137.5,Mega Scizor,Bug,4,70,150,140,75,400,0,121,92,212
Haunter,Ghost,16,45,50,45,95,230,Metapod,Bug,4,50,20,55,30,105,1,122,93,11
Gengar,Ghost,16,60,65,60,110,271.5,Mothim,Bug,4,70,94,50,66,215,1,123,94,414
Mega Gengar,Ghost,16,60,65,80,130,323.75,Nincada,Bug,4,31,45,90,40,141,1,124,94,290
Onix,Rock,15,35,45,160,70,220,Ninjask,Bug,4,61,90,45,160,176,1,125,95,291
Drowzee,Psychic,14,60,48,45,42,105,Orbeetle,Bug,4,60,45,110,90,281,0,126,96,826
Hypno,Psychic,14,85,73,70,67,155,Paras,Bug,4,35,70,55,25,112,1,127,97,46
Krabby,Water,3,30,105,90,50,180,Parasect,Bug,4,60,95,80,30,212.5,0,128,98,47
Kingler,Water,3,55,130,115,75,238,Pheromosa,Bug,4,71,137,37,151,266,0,129,99,795
Voltorb,Electric,8,40,30,50,100,155,Pineco,Bug,4,50,65,90,15,190,0,130,100,204
Electrode,Electric,8,60,50,70,150,205,Pinsir,Bug,4,65,125,100,85,325,0,131,101,127
Exeggcute,Grass,1,60,40,80,40,0,Ribombee,Bug,4,60,55,60,124,279,0,132,102,743
Exeggutor,Grass,1,95,95,85,55,190,Scatterbug,Bug,4,38,35,40,35,100.5,1,133,103,664
Alolan Exeggutor,Grass,1,95,105,85,45,70,Scizor,Bug,4,70,130,100,65,338.75,0,134,103,212
Cubone,Ground,9,50,50,95,35,130,Scolipede,Bug,4,60,100,89,112,311,0,135,104,545
Marowak,Ground,9,60,80,110,45,185,Scyther,Bug,4,70,110,80,105,365,0,136,105,123
Alolan Marowak,Fire,2,60,80,110,45,281.75,Sewaddle,Bug,4,45,53,70,42,-110,1,137,105,540
Hitmonlee,Fighting,13,50,120,53,87,265,Shedinja,Bug,4,1,90,45,40,176,1,138,106,292
Hitmonchan,Fighting,13,50,105,79,76,290,Shelmet,Bug,4,50,40,85,25,95,1,139,107,616
Lickitung,Normal,5,90,55,75,30,240,Shuckle,Bug,4,20,10,230,5,237.5,1,140,108,213
Koffing,Poison,7,40,65,95,35,217.5,Silcoon,Bug,4,50,35,55,15,90,1,141,109,266
Weezing,Poison,7,65,90,120,60,324,Spewpa,Bug,4,45,22,60,29,66,1,142,110,665
Galarian Weezing,Poison,7,65,90,120,60,305,Spinarak,Bug,4,40,60,40,30,125,1,143,110,167
Rhyhorn,Ground,9,80,85,95,25,255,Surskit,Bug,4,40,30,32,65,124.5,1,144,111,283
Rhydon,Ground,9,105,130,120,40,332,Swadloon,Bug,4,55,63,90,42,217.5,1,145,112,541
Chansey,Normal,5,250,5,5,50,265,Venipede,Bug,4,30,45,59,57,186,1,146,113,543
Tangela,Grass,1,65,55,115,60,165,Venomoth,Bug,4,70,65,60,90,271.25,0,147,114,49
Kangaskhan,Normal,5,105,95,80,90,315,Venonat,Bug,4,60,55,50,45,115,1,148,115,48
Mega Kangaskhan,Normal,5,105,125,100,100,350,Vespiquen,Bug,4,70,80,102,40,167,1,149,115,416
Horsea,Water,3,30,40,70,60,130,Vikavolt,Bug,4,77,70,90,43,240,0,150,116,738
Seadra,Water,3,55,65,95,85,248,Vivillon,Bug,4,80,52,50,89,206,1,151,117,666
Goldeen,Water,3,45,67,60,63,162,Volbeat,Bug,4,65,73,75,85,231,0,152,118,313
Seaking,Water,3,80,92,65,68,245,Volcarona,Bug,4,85,60,65,100,126,1,153,119,637
Staryu,Water,3,30,45,55,85,180,Weedle,Bug,4,40,35,30,50,110,1,154,120,13
Starmie,Water,3,60,75,85,115,225,Whirlipede,Bug,4,40,55,99,47,166,1,155,121,544
Mr. Mime,Psychic,14,40,45,65,90,205,Wimpod,Bug,4,25,35,40,80,135,1,156,122,767
Galarian Mr. Mime,Psychic,14,50,65,65,100,221,Wormadam Plant Cloak,Bug,4,60,59,85,36,175,1,157,122,413
Scyther,Bug,4,70,110,80,105,325.5,Wormadam Sandy Cloak,Bug,4,60,79,105,36,170,1,158,123,413
Jynx,Ice,10,65,50,35,95,107,Wormadam Trash Cloak,Bug,4,60,69,95,36,235,0,159,124,413
Electabuzz,Electric,8,65,83,57,105,265,Wurmple,Bug,4,45,45,35,20,62,1,160,125,265
Magmar,Fire,2,65,95,57,93,277.5,Yanma,Bug,4,65,65,45,95,80,1,161,126,193
Pinsir,Bug,4,65,125,100,85,299,Yanmega,Bug,4,86,76,86,95,280.5,1,162,127,469
Mega Pinsir,Bug,4,65,155,120,105,410,Accelgor,Bug,4,80,70,40,145,180,1,163,127,617
Tauros,Normal,5,75,100,95,110,290,Ariados,Bug,4,70,90,70,40,170,1,164,128,168
Magikarp,Water,3,20,10,55,80,95,Beautifly,Bug,4,60,70,50,65,235,0,165,129,267
Gyarados,Water,3,95,125,79,81,335,Beedrill,Bug,4,65,90,40,75,145,1,166,130,15
Mega Gyarados,Water,3,95,155,109,81,400,Blipbug,Bug,4,25,20,20,45,-45,1,167,130,824
Lapras,Water,3,130,85,80,60,326,Burmy,Bug,4,40,29,45,36,65,1,168,131,412
Ditto,Normal,5,48,48,48,48,147,Butterfree,Bug,4,60,45,50,70,177,0,169,132,12
Eevee,Normal,5,55,55,50,55,76,Buzzwole,Bug,4,107,139,139,79,409,0,170,133,794
Partner Eevee,Normal,5,65,75,70,75,250,Cascoon,Bug,4,50,35,55,15,80,1,171,133,268
Vaporeon,Water,3,130,65,60,65,290,Caterpie,Bug,4,45,30,35,45,90,1,172,134,10
Jolteon,Electric,8,65,65,60,130,238,Charjabug,Bug,4,57,82,95,36,237.5,1,173,135,737
Flareon,Fire,2,65,130,60,65,305,Combee,Bug,4,30,30,42,70,-88,1,174,136,415
Porygon,Normal,5,65,60,70,40,130,Crustle,Bug,4,70,105,125,45,315,0,175,137,558
Omanyte,Rock,15,35,40,100,35,165,Cutiefly,Bug,4,40,45,40,84,129,1,176,138,742
Omastar,Rock,15,70,60,125,55,275,Dottler,Bug,4,50,35,80,30,75,1,177,139,825
Kabuto,Rock,15,30,80,90,55,146,Durant,Bug,4,58,109,112,109,308,0,178,140,632
Kabutops,Rock,15,60,115,105,80,310,Dustox,Bug,4,60,50,70,65,15,1,179,141,269
Aerodactyl,Rock,15,80,105,65,130,347.5,Dwebble,Bug,4,50,65,85,55,45,1,180,142,557
Mega Aerodactyl,Rock,15,80,135,85,150,382.5,Escavalier,Bug,4,70,135,105,20,195,1,181,142,589
Snorlax,Normal,5,160,110,65,30,275,Forretress,Bug,4,75,90,140,40,290,0,182,143,205
Articuno,Ice,10,90,85,100,85,321.5,Galvantula,Bug,4,70,77,60,108,230,1,183,144,596
Zapdos,Electric,8,90,90,85,100,305,Genesect,Bug,4,71,120,95,99,295,1,184,145,649
Moltres,Fire,2,90,100,90,90,338.75,Golisopod,Bug,4,75,125,140,40,280,1,185,146,768
Dratini,Dragon,17,41,64,45,50,138,Grubbin,Bug,4,47,62,45,46,136,1,186,147,736
Dragonair,Dragon,17,61,84,65,70,155,Heracross,Bug,4,80,125,75,85,281,0,187,148,214
Dragonite,Dragon,17,91,134,95,80,376.5,Illumise,Bug,4,65,47,75,85,138,1,188,149,314
Mewtwo,Psychic,14,106,110,90,130,342,Joltik,Bug,4,50,47,50,65,102,1,189,150,595
Mega Mewtwo X,Psychic,14,106,190,100,130,501,Kakuna,Bug,4,45,25,50,35,-225,1,190,150,14
Mega Mewtwo Y,Psychic,14,106,150,70,140,316,Karrablast,Bug,4,50,75,45,60,80,1,191,150,588
Mew,Psychic,14,100,100,100,100,350,Kricketot,Bug,4,37,25,41,25,28,1,192,151,401
Chikorita,Grass,1,45,49,65,45,34,Kricketune,Bug,4,77,85,51,65,253.5,0,193,152,402
Bayleef,Grass,1,60,62,80,60,92,Larvesta,Bug,4,55,85,55,60,239.5,0,194,153,636
Meganium,Grass,1,80,82,100,80,136,Leavanny,Bug,4,75,103,80,92,329.5,0,195,154,542
Cyndaquil,Fire,2,39,52,43,65,181.5,Ledian,Bug,4,55,35,50,85,121,1,196,155,166
Quilava,Fire,2,58,64,58,80,250,Ledyba,Bug,4,40,20,30,55,17,1,197,156,165
Typhlosion,Fire,2,78,84,78,100,310,Masquerain,Bug,4,70,60,62,80,104,1,198,157,284
Totodile,Water,3,50,65,64,43,72,Mega Beedrill,Bug,4,65,150,40,145,335,0,199,158,15
Croconaw,Water,3,65,80,80,58,98,Mega Heracross,Bug,4,80,185,115,75,375,0,200,159,214
Feraligatr,Water,3,85,105,100,78,213,Mega Pinsir,Bug,4,65,155,120,105,340,0,201,160,127
Sentret,Normal,5,35,46,34,20,-15,Mega Scizor,Bug,4,70,150,140,75,412,0,202,161,212
Furret,Normal,5,85,76,64,90,295,Metapod,Bug,4,50,20,55,30,79,1,203,162,11
Hoothoot,Normal,5,60,30,30,50,123,Mothim,Bug,4,70,94,50,66,250,0,204,163,414
Noctowl,Normal,5,100,50,50,70,247.5,Nincada,Bug,4,31,45,90,40,156,1,205,164,290
Ledyba,Bug,4,40,20,30,55,100,Ninjask,Bug,4,61,90,45,160,346,0,206,165,291
Ledian,Bug,4,55,35,50,85,202.5,Orbeetle,Bug,4,60,45,110,90,235,0,207,166,826
Spinarak,Bug,4,40,60,40,30,135,Paras,Bug,4,35,70,55,25,65,1,208,167,46
Ariados,Bug,4,70,90,70,40,222.5,Parasect,Bug,4,60,95,80,30,85,1,209,168,47
Crobat,Poison,7,85,90,80,130,350.75,Pheromosa,Bug,4,71,137,37,151,306,1,210,169,795
Chinchou,Water,3,75,38,38,67,153,Pineco,Bug,4,50,65,90,15,182,0,211,170,204
Lanturn,Water,3,125,58,58,67,183,Pinsir,Bug,4,65,125,100,85,317,0,212,171,127
Pichu,Electric,8,20,40,15,60,80,Ribombee,Bug,4,60,55,60,124,259,0,213,172,743
Cleffa,Fairy,11,50,25,28,15,100.5,Scatterbug,Bug,4,38,35,40,35,123,0,214,173,664
Igglybuff,Normal,5,90,30,15,15,85,Scizor,Bug,4,70,130,100,65,350,0,215,174,212
Togepi,Fairy,11,35,20,65,20,90,Scolipede,Bug,4,60,100,89,112,351,0,216,175,545
Togetic,Fairy,11,55,40,85,40,192.5,Scyther,Bug,4,70,110,80,105,325,0,217,176,123
Natu,Psychic,14,40,50,45,70,152,Sewaddle,Bug,4,45,53,70,42,160,0,218,177,540
Xatu,Psychic,14,65,75,70,95,215,Shedinja,Bug,4,1,90,45,40,176,1,219,178,292
Mareep,Electric,8,55,40,40,35,130,Shelmet,Bug,4,50,40,85,25,160,0,220,179,616
Flaaffy,Electric,8,70,55,55,45,215,Shuckle,Bug,4,20,10,230,5,210,1,221,180,213
Ampharos,Electric,8,90,75,85,55,270,Silcoon,Bug,4,50,35,55,15,80,1,222,181,266
Mega Ampharos,Electric,8,90,95,105,45,313,Spewpa,Bug,4,45,22,60,29,61,1,223,181,665
Bellossom,Grass,1,75,80,95,50,180,Spinarak,Bug,4,40,60,40,30,150,1,224,182,167
Marill,Water,3,70,20,50,40,165,Surskit,Bug,4,40,30,32,65,157,1,225,183,283
Azumarill,Water,3,100,50,80,50,248.5,Swadloon,Bug,4,55,63,90,42,225,1,226,184,541
Sudowoodo,Rock,15,70,100,115,30,270,Venipede,Bug,4,30,45,59,57,-9,1,227,185,543
Politoed,Water,3,90,75,75,70,245,Venomoth,Bug,4,70,65,60,90,210,1,228,186,49
Hoppip,Grass,1,35,35,40,50,105,Venonat,Bug,4,60,55,50,45,201.25,0,229,187,48
Skiploom,Grass,1,55,45,50,80,150,Vespiquen,Bug,4,70,80,102,40,280.75,0,230,188,416
Jumpluff,Grass,1,75,55,70,110,240,Vikavolt,Bug,4,77,70,90,43,252.5,0,231,189,738
Aipom,Normal,5,55,70,55,85,213,Vivillon,Bug,4,80,52,50,89,201,1,232,190,666
Sunkern,Grass,1,30,30,30,30,-26,Volbeat,Bug,4,65,73,75,85,283,0,233,191,313
Sunflora,Grass,1,75,75,55,30,115,Volcarona,Bug,4,85,60,65,100,291.25,0,234,192,637
Yanma,Bug,4,65,65,45,95,252.5,Weedle,Bug,4,40,35,30,50,122.5,1,235,193,13
Wooper,Water,3,55,45,45,15,105,Whirlipede,Bug,4,40,55,99,47,196,0,236,194,544
Quagsire,Water,3,95,85,85,35,265,Wimpod,Bug,4,25,35,40,80,137.5,1,237,195,767
Espeon,Psychic,14,65,65,60,110,182,Wormadam Plant Cloak,Bug,4,60,59,85,36,175,1,238,196,413
Umbreon,Dark,6,95,65,110,65,177,Wormadam Sandy Cloak,Bug,4,60,79,105,36,215,0,239,197,413
Murkrow,Dark,6,60,85,42,91,209,Wormadam Trash Cloak,Bug,4,60,69,95,36,175,1,240,198,413
Slowking,Water,3,95,75,80,30,190,Wurmple,Bug,4,45,45,35,20,70,1,241,199,265
Misdreavus,Ghost,16,60,60,60,85,232.5,Yanma,Bug,4,65,65,45,95,210,1,242,200,193
Unown,Psychic,14,48,72,48,48,64,Yanmega,Bug,4,86,76,86,95,271,0,243,201,469
Wobbuffet,Psychic,14,190,33,58,33,174,Accelgor,Bug,4,80,70,40,145,302,0,244,202,617
Girafarig,Normal,5,70,80,65,85,120,Ariados,Bug,4,70,90,70,40,190,0,245,203,168
Pineco,Bug,4,50,65,90,15,150,Beautifly,Bug,4,60,70,50,65,212.5,0,246,204,267
Forretress,Bug,4,75,90,140,40,300,Beedrill,Bug,4,65,90,40,75,225,1,247,205,15
Dunsparce,Normal,5,100,70,70,45,265,Blipbug,Bug,4,25,20,20,45,40,1,248,206,824
Gligar,Ground,9,65,75,105,85,315.5,Burmy,Bug,4,40,29,45,36,112.5,1,249,207,412
Steelix,Steel,12,75,85,200,30,367.5,Butterfree,Bug,4,60,45,50,70,140,1,250,208,12
Mega Steelix,Steel,12,75,125,230,30,390.5,Buzzwole,Bug,4,107,139,139,79,339,1,251,208,794
Snubbull,Fairy,11,60,80,50,30,202.5,Cascoon,Bug,4,50,35,55,15,75,1,252,209,268
Granbull,Fairy,11,90,120,75,45,315,Caterpie,Bug,4,45,30,35,45,35,1,253,210,10
Qwilfish,Water,3,65,95,85,85,289,Charjabug,Bug,4,57,82,95,36,175,1,254,211,737
Scizor,Bug,4,70,130,100,65,350,Combee,Bug,4,30,30,42,70,107,1,255,212,415
Mega Scizor,Bug,4,70,150,140,75,382.5,Crustle,Bug,4,70,105,125,45,195,1,256,212,558
Shuckle,Bug,4,20,10,230,5,220,Cutiefly,Bug,4,40,45,40,84,204,1,257,213,742
